epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1519.8,0.38419,0.25562,0.78018,0.99628,0.99646,0.99494,0.94605,0.26436,0.18954,0.78731,0.00014317,0.00014317,0.00014317
77,1538.85,0.38092,0.25184,0.78401,0.99699,0.99688,0.99495,0.94499,0.26291,0.1836,0.78665,0.000137666,0.000137666,0.000137666
78,1558.27,0.38276,0.24891,0.78233,0.99676,0.99693,0.99495,0.94142,0.27132,0.18771,0.78687,0.000132161,0.000132161,0.000132161
79,1577.17,0.37995,0.24913,0.78141,0.99686,0.99657,0.99497,0.94161,0.26785,0.18881,0.78661,0.000126657,0.000126657,0.000126657
80,1596.08,0.37183,0.24491,0.78172,0.99677,0.99665,0.99497,0.94848,0.26045,0.1816,0.78613,0.000121152,0.000121152,0.000121152
81,1614.82,0.37368,0.24603,0.78212,0.99664,0.99642,0.99498,0.93754,0.27567,0.18392,0.78706,0.000115648,0.000115648,0.000115648
82,1634.64,0.37072,0.24311,0.78228,0.99679,0.99662,0.99497,0.9439,0.26017,0.17819,0.78626,0.000110144,0.000110144,0.000110144
83,1653.42,0.37175,0.24163,0.78471,0.99612,0.99684,0.99497,0.94522,0.26051,0.17904,0.78616,0.000104639,0.000104639,0.000104639
84,1672.17,0.37628,0.2415,0.78466,0.99701,0.99684,0.99498,0.9435,0.2656,0.17964,0.7864,9.91348e-05,9.91348e-05,9.91348e-05
85,1691.07,0.3709,0.24198,0.78344,0.99701,0.99655,0.99498,0.94653,0.25465,0.17742,0.78538,9.36304e-05,9.36304e-05,9.36304e-05
86,1709.9,0.36676,0.24091,0.78161,0.99792,0.99654,0.99499,0.94235,0.26542,0.18079,0.7865,8.8126e-05,8.8126e-05,8.8126e-05
87,1728.83,0.36589,0.23771,0.7821,0.99738,0.99691,0.99498,0.94731,0.25726,0.17638,0.7856,8.26216e-05,8.26216e-05,8.26216e-05
88,1747.56,0.36531,0.23826,0.78287,0.99711,0.99629,0.99499,0.94399,0.25905,0.17819,0.78537,7.71172e-05,7.71172e-05,7.71172e-05
89,1766.35,0.36721,0.23534,0.78208,0.99761,0.99638,0.99498,0.94433,0.25819,0.17622,0.7856,7.16128e-05,7.16128e-05,7.16128e-05
90,1785.39,0.36649,0.23862,0.78128,0.99697,0.99676,0.99497,0.94671,0.25097,0.17572,0.78468,6.61084e-05,6.61084e-05,6.61084e-05
91,1823.41,0.37007,0.24827,0.77801,0.99627,0.99639,0.99496,0.9458,0.26677,0.19048,0.78619,6.0604e-05,6.0604e-05,6.0604e-05
92,1842.13,0.35903,0.23311,0.78003,0.99554,0.99656,0.99496,0.94477,0.26366,0.18504,0.78568,5.50996e-05,5.50996e-05,5.50996e-05
93,1860.48,0.34907,0.22648,0.77465,0.9952,0.99706,0.99496,0.94228,0.2635,0.18248,0.78607,4.95952e-05,4.95952e-05,4.95952e-05
94,1878.85,0.35017,0.22949,0.77806,0.99572,0.99721,0.99497,0.9449,0.26128,0.17907,0.78568,4.40908e-05,4.40908e-05,4.40908e-05
95,1897.18,0.35052,0.2246,0.77623,0.99588,0.99697,0.99498,0.94363,0.26319,0.18244,0.78521,3.85864e-05,3.85864e-05,3.85864e-05
96,1915.16,0.3467,0.22464,0.77471,0.99633,0.99706,0.99498,0.94545,0.25928,0.18185,0.78519,3.3082e-05,3.3082e-05,3.3082e-05
97,1933.05,0.34319,0.22122,0.7723,0.99685,0.99702,0.99498,0.94281,0.2669,0.18211,0.78577,2.75776e-05,2.75776e-05,2.75776e-05
98,1950.88,0.34271,0.21853,0.77624,0.99613,0.99722,0.99498,0.94152,0.26596,0.1791,0.78614,2.20732e-05,2.20732e-05,2.20732e-05
99,1968.41,0.3402,0.21812,0.77432,0.99647,0.99705,0.99499,0.94387,0.26054,0.17784,0.78563,1.65688e-05,1.65688e-05,1.65688e-05
100,1985.97,0.33808,0.21525,0.77495,0.99647,0.99732,0.99499,0.94492,0.25671,0.17546,0.78531,1.10644e-05,1.10644e-05,1.10644e-05
